STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,12/31/2019,44,"H,,S",48,",,E",34,",,E"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/1/2020,47,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/2/2020,43,"H,,S",53,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/3/2020,45,"H,,S",50,",,S",36,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/4/2020,49,"H,,S",53,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/5/2020,37,"H,,S",49,",,S",33,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/6/2020,41,"H,,S",56,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/7/2020,46,"H,,S",53,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/8/2020,46,"H,,S",56,",,S",37,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/9/2020,51,"H,,S",58,",,S",44,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/10/2020,47,"H,,S",52,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/11/2020,41,"H,,S",51,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/12/2020,38,"H,,S",51,",,S",28,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/13/2020,38,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/14/2020,48,"H,,S",,,41,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/15/2020,51,"H,,S",57,",,S",48,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/16/2020,50,"H,,S",,,42,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/17/2020,48,"H,,S",52,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/18/2020,43,"H,,S",51,",,S",35,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/19/2020,43,"H,,S",48,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/20/2020,36,"H,,S",43,",,S",27,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/21/2020,42,"H,,S",,,36,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/22/2020,48,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/23/2020,51,"H,,S",56,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/24/2020,51,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/25/2020,50,"H,,S",,,44,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/26/2020,47,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/27/2020,42,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/28/2020,47,"H,,S",56,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/29/2020,49,"H,,S",57,",,S",40,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/30/2020,51,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,1/31/2020,55,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,2/1/2020,53,"H,,S",63,",,S",42,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,2/2/2020,57,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,2/3/2020,56,"H,,S",,,45,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,2/4/2020,51,"H,,S",59,",,S",,
